facility_id,name,name_clean,state,network_region,fuel_type,status,capacity_mw,latitude,longitude,name_key
bungama-solar-farm-stage-3-sa,Bungama Solar Farm (stage 3),Bungama Solar Farm (Stage 3),SA,SA1,Solar,Committed,280.0,-33.1979576,138.0680019,bungama-solar-farm-stage-3
fulham-solar-farm-vic,Fulham Solar Farm,Fulham Solar Farm,VIC,VIC1,Solar,Committed,80.0,-38.082623,146.9634772,fulham-solar-farm
cloudbreak-solar-farm-wa,Cloudbreak Solar Farm,Cloudbreak Solar Farm,WA,,Solar,Committed,190.0,-22.3045424,119.4320893,cloudbreak-solar-farm
port-latta-wind-farm-tas,Port Latta Wind Farm,Port Latta Wind Farm,TAS,TAS1,Wind,Committed,25.0,-41.0622997,145.9040829,port-latta-wind-farm
wandoan-south-solar-farm-stage-2-qld,Wandoan South Solar Farm (Stage 2),Wandoan South Solar Farm (Stage 2),QLD,QLD1,Solar,Committed,240.0,-26.135673,149.9011851,wandoan-south-solar-farm-stage-2
lancaster-solar-farm-vic,Lancaster Solar Farm,Lancaster Solar Farm,VIC,VIC1,Solar,Committed,106.0,-36.298938,145.136072,lancaster-solar-farm
mulwala-solar-farm-nsw,Mulwala Solar Farm,Mulwala Solar Farm,NSW,NSW1,Solar,Committed,31.0,-35.9869152,146.0026789,mulwala-solar-farm
kerang-solar-plant-solar-vic-vic,Kerang Solar Plant - Solar - VIC,Kerang Solar Plant - Solar - Vic,VIC,VIC1,Solar,Accredited,37.2874,-35.7338373,143.9204152,kerang-solar-plant-solar-vic
goyder-south-wind-farm-1b-wind-sa-sa,Goyder South Wind Farm 1B - Wind - SA,Goyder South Wind Farm 1B - Wind - Sa,SA,SA1,Wind,Accredited,195.693,-33.7175888,139.0369511,goyder-south-wind-farm-1b-wind-sa
stubbo-solar-nsw-nsw,Stubbo - Solar - NSW,Stubbo - Solar - Nsw,NSW,NSW1,Solar,Accredited,520.393,-32.2818,149.5679,stubbo-solar-nsw
wollar-solar-farm-solar-nsw-nsw,Wollar Solar Farm-Solar-NSW,Wollar Solar Farm-Solar-Nsw,NSW,NSW1,Solar,Accredited,346.248,-32.3581121,149.9483663,wollar-solar-farm-solar-nsw
clarke-creek-wind-farm-wind-qld-qld,Clarke Creek Wind Farm - Wind - QLD,Clarke Creek Wind Farm - Wind - Qld,QLD,QLD1,Wind,Accredited,450.0,-22.72562,149.3120589,clarke-creek-wind-farm-wind-qld
mokoan-solar-farm-solar-vic-vic,MOKOAN SOLAR FARM - SOLAR - VIC,Mokoan Solar Farm - Solar - Vic,VIC,VIC1,Solar,Accredited,57.803,-36.5714094,146.0199594,mokoan-solar-farm-solar-vic
wambo-wind-farm-stage-1-wind-qld-qld,Wambo Wind Farm Stage 1 - Wind - QLD,Wambo Wind Farm Stage 1 - Wind - Qld,QLD,QLD1,Wind,Accredited,252.0,-27.1528839,150.6493798,wambo-wind-farm-stage-1-wind-qld
kwinana-wte-wa-wa,Kwinana WTE - WA,Kwinana Wte - Wa,WA,,Biomass-Based Components of Municipal Solid Waste,Accredited,42.0,-32.233854,115.8211484,kwinana-wte-wa
culcairn-solar-farm-solar-nsw-nsw,Culcairn Solar Farm - Solar - NSW,Culcairn Solar Farm - Solar - Nsw,NSW,NSW1,Solar,Accredited,439.869,-35.6674081,147.0365471,culcairn-solar-farm-solar-nsw
tronox-solar-nsw-nsw,Tronox-Solar-NSW,Tronox-Solar-Nsw,NSW,NSW1,Solar,Accredited,10.713,-34.16847,116.1581566,tronox-solar-nsw
norther-airfield-solar-vic-vic,Norther Airfield - Solar - VIC,Norther Airfield - Solar - Vic,VIC,VIC1,Solar,Accredited,11.278,-34.16847,116.1581566,norther-airfield-solar-vic
